date,type,kg,kr,avg price,max price,min price
20250321,Hysa 1 MSC,755,13,691.00,18.13,21.60,15.10
20250321,Hysa 2 MSC,9240,162,243.00,17.56,20.60,14.10
20250321,Hysa 3 MSC,6248,110,984.40,17.76,21.00,13.10
20250321,Hysa 4 MSC,746,2,562.00,3.43,3.70,2.00
20250321,Hysa MSC,12,97.20,8.10,8.10,8.10
20250321,Toskur 1,2530,95,723.60,37.84,38.30,37.20
20250321,Toskur 2,9442,341,367.50,36.15,37.30,36.00
20250321,Toskur 3,15628,492,070.89,31.49,32.90,28.90
20250321,Toskur 4,6926,208,951.60,30.17,31.80,23.20
20250321,Toskur 5,1014,25,027.20,24.68,25.50,17.20
20250321,Hvitlingur,130,1,585.00,12.19,13.30,9.70
20250321,Upsi 1 MSC,583,5,247.00,9.00,9.00,9.00
20250321,Upsi 2 MSC,630,5,670.00,9.00,9.00,9.00
20250321,Upsi 1-2 MSC,1135,10,215.00,9.00,9.00,9.00
20250321,Upsi 1-2 MSC,150,1,350.00,9.00,9.00,9.00
20250321,Upsi 3 MSC,170,1,020.00,6.00,6.00,6.00
20250321,Upsi 4 MSC,1,5.00,5.00,5.00,5.00
20250321,Upsi 5 MSC,12,48.00,4.00,4.00,4.00
20250321,Upsi MSC,2100,12,600.00,6.00,6.00,6.00
20250321,Brosma 1 MSC,224,1,568.00,7.00,7.00,7.00
20250321,Brosma 2 MSC,410,2,870.00,7.00,7.00,7.00
20250321,Brosma 3 MSC,212,1,060.00,5.00,5.00,5.00
20250321,Brosma 4 MSC,54,216.00,4.00,4.00,4.00
20250321,Brosma MSC,252,1,558.00,6.18,6.20,4.00
20250321,Longa 1,972,18,505.80,19.04,19.70,12.00
20250321,Longa 2,1144,21,949.80,19.19,19.70,18.90
20250321,Longa 1-2,20,240.00,12.00,12.00,12.00
20250321,Longa 3,754,12,606.80,16.72,17.70,14.00
20250321,Longa 4,218,2,797.24,12.82,13.70,10.00
20250321,Longa 5,30,197.56,6.83,7.70,5.00
20250321,Longa,656,7,860.00,11.98,12.00,10.00
20250320,Hysa 1 MSC,1253,23,249.10,18.55,22.10,14.20
20250320,Hysa 2 MSC,16242,295,690.39,18.21,21.10,13.20
20250320,Hysa 3 MSC,9545,170,302.19,17.84,21.30,12.20
20250320,Hysa 4 MSC,927,4,055.00,4.37,5.20,1.20
20250320,Hysa MSC,3142,21,125.20,6.72,12.10,6.70
20250320,Toskur 1,10129,363,049.20,35.84,38.30,21.20
20250320,Toskur 2,32306,1,097,515.81,33.97,35.40,21.20
